IOName,Designation
S.S.GHATAGE   (PSI),PSI
V.K.ITAGI   (ASI),ASI
JAYSHREE G WAJANTRI   (HC),HC
S.S.NAIK   (ASI),ASI
V.B.TELI   (HC),HC
K.H.Dodamani   (ASI),ASI
V.K.ITAGI   (ASI),ASI
Mallikarjun Biradar   (PSI),PSI
Dinesh P Jawalkar   (PSI),PSI
K.H.Dodamani   (ASI),ASI
Holeppagouda.R.Patil   (PI),PI
S.V.Kundagol   (ASI),ASI
Mallikarjun Biradar   (PSI),PSI
R.L.B.PATIL   (HC),HC
Holeppagouda.R.Patil   (PI),PI
S H HOSAMANI   (PSI),PSI
B.S.DASAVAGOL   (HC),HC
K.B.MANG   (PSI),PSI
R.K.PATIL   (Dy.SP),Dy.SP
Holeppagouda.R.Patil   (PI),PI
V.K.ITAGI   (ASI),ASI
V.K.ITAGI   (ASI),ASI
Mithun Kumar IPS   (SP),SP
Pradeep Gunti IPS (SP),SP
SHIVANAND  KATAGI (Dy.SP),Dy.SP
SHIVANAND  KATAGI (Dy.SP),Dy.SP
Holeppagouda.R.Patil   (PI),PI
S.S.GHATAGE   (PSI),PSI
S.S.GHATAGE   (PSI),PSI
V.K.ITAGI   (ASI),ASI
V.K.ITAGI   (ASI),ASI
V.K.ITAGI   (ASI),ASI
B.M.PATIL   (ASI),ASI
V.K.ITAGI   (ASI),ASI
S.S.GHATAGE   (PSI),PSI
S.V.Kundagol   (ASI),ASI
K.H.Dodamani   (ASI),ASI
R.B.KATAGERI   (HC),HC
Holeppagouda.R.Patil   (PI),PI
Holeppagouda.R.Patil   (PI),PI
R.B.KATAGERI   (HC),HC
R.S.HUDDAR   (HC),HC
Mallikarjun Biradar   (PSI),PSI
V. N. Bilagi   (HC),HC
Mallikarjun Biradar   (PSI),PSI
B.S.DASAVAGOL   (HC),HC
Holeppagouda.R.Patil   (PI),PI
S.S.GHATAGE   (PSI),PSI
Mallikarjun Biradar   (PSI),PSI
M R JAINAR   (HC),HC
V.K.ITAGI   (ASI),ASI
Holeppagouda.R.Patil   (PI),PI
R.K.PATIL   (Dy.SP),Dy.SP
M.S.KURI   (HC),HC
Holeppagouda.R.Patil   (PI),PI
B.S.DASAVAGOL   (HC),HC
Holeppagouda.R.Patil   (PI),PI
B.M.PATIL   (ASI),ASI
V. N. Bilagi   (HC),HC
Holeppagouda.R.Patil   (PI),PI
S. P. Kesargoppa   (HC),HC
Ramesh H.Baragi   (HC),HC
Holeppagouda.R.Patil   (PI),PI
V. N. Bilagi   (HC),HC
Mallikarjun Biradar   (PSI),PSI
Mallikarjun Biradar   (PSI),PSI
Mallikarjun Biradar   (PSI),PSI
K.B.MANG   (PSI),PSI
S.S.GHATAGE   (PSI),PSI
Mallikarjun Biradar   (PSI),PSI
Holeppagouda.R.Patil   (PI),PI
Mallikarjun Biradar   (PSI),PSI
Holeppagouda.R.Patil   (PI),PI
Mallikarjun Biradar   (PSI),PSI
Mallikarjun Biradar   (PSI),PSI
Dinesh P Jawalkar   (PSI),PSI
K.H.Dodamani   (ASI),ASI
V.D.LAKSHANATTI   (HC),HC
Mallikarjun Biradar   (PSI),PSI
V.K.ITAGI   (ASI),ASI
Holeppagouda.R.Patil   (PI),PI
Mallikarjun Biradar   (PSI),PSI
Holeppagouda.R.Patil   (PI),PI
K.B.MANG   (PSI),PSI
Holeppagouda.R.Patil   (PI),PI
Mallikarjun Biradar   (PSI),PSI
R.S.HUDDAR   (HC),HC
S.H.KOTI   (HC),HC
V.D.LAKSHANATTI   (HC),HC
Holeppagouda.R.Patil   (PI),PI
Dinesh P Jawalkar   (PSI),PSI
R.S.HUDDAR   (HC),HC
S.B.HANUMGOUDAR   (HC),HC
Dinesh P Jawalkar   (PSI),PSI
K.B.MANG   (PSI),PSI
K.B.MANG   (PSI),PSI
D. R. Madar   (ASI),ASI
K.B.MANG   (PSI),PSI
Holeppagouda.R.Patil   (PI),PI
Dinesh P Jawalkar   (PSI),PSI
K.B.MANG   (PSI),PSI
D. R. Hattur   (ASI),ASI
S.B.HANUMGOUDAR   (HC),HC
D. R. Hattur   (ASI),ASI
K.B.MANG   (PSI),PSI
Ayyanagouda V Patil (PI),PI
Ayyanagouda V Patil (PI),PI
K.B.MANG   (PSI),PSI
Ayyanagouda V Patil (PI),PI
Holeppagouda.R.Patil   (PI),PI
B.B.YADAVE   (ASI),ASI
K.B.MANG   (PSI),PSI
N. T. Daddimani   (PSI),PSI
Holeppagouda.R.Patil   (PI),PI
K.B.MANG   (PSI),PSI
N. T. Daddimani   (PSI),PSI
K.B.MANG   (PSI),PSI
Y.N.KALE   (ASI),ASI
Ayyanagouda V Patil (PI),PI
K.B.MANG   (PSI),PSI
K.B.MANG   (PSI),PSI
S H HOSAMANI   (PSI),PSI
B.M.PATIL   (ASI),ASI
K.B.MANG   (PSI),PSI
S H HOSAMANI   (PSI),PSI
K.B.MANG   (PSI),PSI
H Y KOLI   (HC),HC
K.B.MANG   (PSI),PSI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
Ayyanagouda V Patil (PI),PI
Ayyanagouda V Patil (PI),PI
Suresh K Kadapatti   (HC),HC
B.S.DASAVAGOL   (HC),HC
V.D.LAKSHANATTI   (HC),HC
B.S.NAYAK   (HC),HC
B.S.NAYAK   (HC),HC
D. R. Hattur   (ASI),ASI
S H HOSAMANI   (PSI),PSI
N.M.JAMAKHANDI   (WHC),WHC
V.D.LAKSHANATTI   (HC),HC
P.M.AGASAR   (WHC),WHC
PANDURANGAIAH M   (Dy.SP),Dy.SP
MAHADEV NEMANNA SHIRAHATTI (PI),PI
V.D.LAKSHANATTI   (HC),HC
B.M.PATIL   (ASI),ASI
K.B.MANG   (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
Suryakant H. Ambiger   (ASI),ASI
Basavaraj Gireppa Gani (HC),HC
S H HOSAMANI   (PSI),PSI
Ayyanagouda V Patil (PI),PI
K.B.MANG   (PSI),PSI
Ayyanagouda V Patil (PI),PI
S H HOSAMANI   (PSI),PSI
Y.N.KALE   (ASI),ASI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
K.B.MANG   (PSI),PSI
H Y KOLI   (HC),HC
Y.N.KALE   (ASI),ASI
S H HOSAMANI   (PSI),PSI
B.S.DASAVAGOL   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
K.B.MANG   (PSI),PSI
Suresh K Kadapatti   (HC),HC
R.N.SINGE   (HC),HC
Suresh K Kadapatti   (HC),HC
B.S.NAYAK   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
S H HOSAMANI   (PSI),PSI
B.S.NAYAK   (HC),HC
S H HOSAMANI   (PSI),PSI
B.S.NAYAK   (HC),HC
K.B.MANG   (PSI),PSI
S.N.TERDAL   (HC),HC
K.B.MANG   (PSI),PSI
S.N.TERDAL   (HC),HC
B.S.DASAVAGOL   (HC),HC
S H HOSAMANI   (PSI),PSI
K.B.MANG   (PSI),PSI
S H HOSAMANI   (PSI),PSI
S H HOSAMANI   (PSI),PSI
V.D.LAKSHANATTI   (HC),HC
K.B.MANG   (PSI),PSI
S H HOSAMANI   (PSI),PSI
K.B.MANG   (PSI),PSI
K.B.MANG   (PSI),PSI
H Y KOLI   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
Ayyanagouda V Patil (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
D. R. Hattur   (ASI),ASI
S H HOSAMANI   (PSI),PSI
K.B.MANG   (PSI),PSI
S.N.TERDAL   (HC),HC
Ayyanagouda V Patil (PI),PI
B.S.NAYAK   (HC),HC
S.N.TERDAL   (HC),HC
MAHADEV NEMANNA SHIRAHATTI (PI),PI
K.B.MANG   (PSI),PSI
K.B.MANG   (PSI),PSI
S H HOSAMANI   (PSI),PSI
K.B.MANG   (PSI),PSI
S H HOSAMANI   (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
S H HOSAMANI   (PSI),PSI
D. R. Hattur   (ASI),ASI
V.D.LAKSHANATTI   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
Basavaraj Gireppa Gani (HC),HC
S.N.TERDAL   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
SHANTHAVEERA.E   (Dy.SP),Dy.SP
K.B.MANG   (PSI),PSI
K.B.MANG   (PSI),PSI
Y.N.KALE   (ASI),ASI
Ayyanagouda V Patil (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
S H HOSAMANI   (PSI),PSI
Ayyanagouda V Patil (PI),PI
K.B.MANG   (PSI),PSI
K.B.MANG   (PSI),PSI
Basavaraj Gireppa Gani (HC),HC
S.N.TERDAL   (HC),HC
S H HOSAMANI   (PSI),PSI
S.N.TERDAL   (HC),HC
H Y KOLI   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
Suryakant H. Ambiger   (ASI),ASI
Ayyanagouda V Patil (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
Gurunath Chavan   (PI),PI
Ramesh H.Baragi   (HC),HC
SHANTHAVEERA.E   (Dy.SP),Dy.SP
SHANTHAVEERA.E   (Dy.SP),Dy.SP
S H HOSAMANI   (PSI),PSI
K.B.MANG   (PSI),PSI
B.S.NAYAK   (HC),HC
V.D.LAKSHANATTI   (HC),HC
V.D.LAKSHANATTI   (HC),HC
S H HOSAMANI   (PSI),PSI
B.S.NAYAK   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
V.D.LAKSHANATTI   (HC),HC
B.S.NAYAK   (HC),HC
R.B.KATAGERI   (HC),HC
B.S.DASAVAGOL   (HC),HC
Ayyanagouda V Patil (PI),PI
S H HOSAMANI   (PSI),PSI
R.N.SINGE   (HC),HC
N.M.JAMAKHANDI   (WHC),WHC
S H HOSAMANI   (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
Ayyanagouda V Patil (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
S H HOSAMANI   (PSI),PSI
S H HOSAMANI   (PSI),PSI
S H HOSAMANI   (PSI),PSI
B.S.NAYAK   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
Basavaraj Gireppa Gani (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
R.B.KATAGERI   (HC),HC
R.B.KATAGERI   (HC),HC
K.N.Budni   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
V. N. Bilagi   (HC),HC
K.B.MANG   (PSI),PSI
RAJU RAVSAB PATIL   (PI),PI
RAJU RAVSAB PATIL   (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
B.S.NAYAK   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
D. R. Hattur   (ASI),ASI
Jagadish Appojappa Kanti (HC),HC
K.N.Budni   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
Mallappa S Kudagi Shivappa Kudagi (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
Mallappa S Kudagi Shivappa Kudagi (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
P.M.AGASAR   (WHC),WHC
RAMESH BASAGOUDA PATIL (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
RAMESH BASAGOUDA PATIL (PSI),PSI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
RAMESH BASAGOUDA PATIL (PSI),PSI
N.M.JAMAKHANDI   (WHC),WHC
KRISHNAJI H SALUNKE   (HC),HC
MAHADEV NEMANNA SHIRAHATTI (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
RAMESH BASAGOUDA PATIL (PSI),PSI
K.B.MANG   (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
K.B.MANG   (PSI),PSI
Jagadish Appojappa Kanti (HC),HC
M.H.RATHOD   (HC),HC
B.S.NAYAK   (HC),HC
K.B.MANG   (PSI),PSI
V.D.LAKSHANATTI   (HC),HC
RAMESH BASAGOUDA PATIL (PSI),PSI
V.D.LAKSHANATTI   (HC),HC
Mallappa S Kudagi Shivappa Kudagi (HC),HC
MAHADEV NEMANNA SHIRAHATTI (PI),PI
RAMESH BASAGOUDA PATIL (PSI),PSI
RAMESH BASAGOUDA PATIL (PSI),PSI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
RAMESH BASAGOUDA PATIL (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
RAJU RAVSAB PATIL   (PI),PI
RAMESH BASAGOUDA PATIL (PSI),PSI
M.H.RATHOD   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
Jagadish Appojappa Kanti (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
K.N.Budni   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
K.B.MANG   (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
M.H.RATHOD   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
R. R. Munyal   (WHC),WHC
RAJU RAVSAB PATIL   (PI),PI
V.D.LAKSHANATTI   (HC),HC
RAJU RAVSAB PATIL   (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
M.H.RATHOD   (HC),HC
MAHADEV NEMANNA SHIRAHATTI (PI),PI
D. R. Hattur   (ASI),ASI
AJITKUMAR  HOSAMANI (PSI),PSI
AJITKUMAR  HOSAMANI (PSI),PSI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
SHANTHAVEERA.E   (Dy.SP),Dy.SP
RAJU RAVSAB PATIL   (PI),PI
B.S.NAYAK   (HC),HC
RAJU RAVSAB PATIL   (PI),PI
B.S.NAYAK   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
S.H.SHABADI   (HC),HC
V. N. Bilagi   (HC),HC
B.S.NAYAK   (HC),HC
AJITKUMAR  HOSAMANI (PSI),PSI
RAJU RAVSAB PATIL   (PI),PI
K.B.MANG   (PSI),PSI
MAHADEV NEMANNA SHIRAHATTI (PI),PI
AJITKUMAR  HOSAMANI (PSI),PSI
D. R. Madar   (ASI),ASI
RAJU RAVSAB PATIL   (PI),PI
M.H.RATHOD   (HC),HC
H K INDIKAR   (HC),HC
D. R. Madar   (ASI),ASI
P.M.AGASAR   (WHC),WHC
D. R. Madar   (ASI),ASI
V.V.KOLAMBI   (HC),HC
RAMESH BASAGOUDA PATIL (PSI),PSI
K.N.Budni   (HC),HC
Basavaraj Gireppa Gani (HC),HC
B.S.NAYAK   (HC),HC
S.A.LAMANI   (WHC),WHC
NINGAPPA M.   (PSI),PSI
SIDDESH KRISHNA ILAK   (PSI),PSI
B.M.Vannur Babu   (ASI),ASI
CHITTARANJAN D.   (PI),PI
PAMPANNA J   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
SIDDESH KRISHNA ILAK   (PSI),PSI
SIDDESH KRISHNA ILAK   (PSI),PSI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
CHIDANANDA RAO M.   (PI),PI
B.M.Vannur Babu   (ASI),ASI
NAGENDRA NAIK T H   (PI),PI
VASANTH KUMAR M   (PI),PI
VASANTH KUMAR M   (PI),PI
CHIDANANDA RAO M.   (PI),PI
B.M.Vannur Babu   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
NAGENDRA NAIK T H   (PI),PI
B.M.Vannur Babu   (ASI),ASI
ANSAR M.   (PSI),PSI
VEERAREDDY HONNAPPA   (PI),PI
ANSAR M.   (PSI),PSI
ANSAR M.   (PSI),PSI
RAGHAVENDRA B.   (HC),HC
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
RAGHAVENDRA B.   (HC),HC
B.M.Vannur Babu   (ASI),ASI
VIRUPAKSH K.   (PSI),PSI
SHARADA T M   (PSI),PSI
VASANTH KUMAR M   (PI),PI
SHARADA T M   (PSI),PSI
B.M.Vannur Babu   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
VASANTH KUMAR M   (PI),PI
NINGAPPA M.   (PSI),PSI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
CHIDANANDA RAO M.   (PI),PI
SHARADA T M   (PSI),PSI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
B.M.Vannur Babu   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
RAGHAVENDRA B.   (HC),HC
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
B.M.Vannur Babu   (ASI),ASI
T V SURESH   (ADDL. SP),ADDL. SP
ANSAR M.   (PSI),PSI
VENUGOPAL S.   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
NINGAPPA M.   (PSI),PSI
VIRUPAKSH K.   (PSI),PSI
VENUGOPAL S.   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
B.M.Vannur Babu   (ASI),ASI
VASANTH KUMAR M   (PI),PI
SIDDESH KRISHNA ILAK   (PSI),PSI
VENUGOPAL S.   (ASI),ASI
PRAKASH MALI  (PI),PI
CHITTARANJAN D.   (PI),PI
VEERAREDDY HONNAPPA   (PI),PI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
SHARADA T M   (PSI),PSI
VASANTH KUMAR M   (PI),PI
SHARADA T M   (PSI),PSI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
SHARADA T M   (PSI),PSI
VASANTH KUMAR M   (PI),PI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
VASANTH KUMAR M   (PI),PI
B.M.Vannur Babu   (ASI),ASI
CHITTARANJAN D.   (PI),PI
VASANTH KUMAR M   (PI),PI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
VASANTH KUMAR M   (PI),PI
B.M.Vannur Babu   (ASI),ASI
VASANTH KUMAR M   (PI),PI
VENUGOPAL S.   (ASI),ASI
NAGENDRA NAIK T H   (PI),PI
NAGENDRA NAIK T H   (PI),PI
SIDDESH KRISHNA ILAK   (PSI),PSI
SIDDESH KRISHNA ILAK   (PSI),PSI
SIDDESH KRISHNA ILAK   (PSI),PSI
SIDDESH KRISHNA ILAK   (PSI),PSI
NAGENDRA NAIK T H   (PI),PI
RAGHAVENDRA B.   (HC),HC
B.M.Vannur Babu   (ASI),ASI
RAGHAVENDRA B.   (HC),HC
NIRANJANA B   (PI),PI
B.M.Vannur Babu   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
NAGENDRA NAIK T H   (PI),PI
SHARADA T M   (PSI),PSI
CHIDANANDA RAO M.   (PI),PI
B.M.Vannur Babu   (ASI),ASI
SHARADA T M   (PSI),PSI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
VASANTH KUMAR M   (PI),PI
VASANTH KUMAR M   (PI),PI
SHARADA T M   (PSI),PSI
SHARADA T M   (PSI),PSI
SHARADA T M   (PSI),PSI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
SHARADA T M   (PSI),PSI
MANJUNATH. K   (ASI),ASI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
LAXMAN M   (PSI),PSI
VASANTH KUMAR M   (PI),PI
B.M.Vannur Babu   (ASI),ASI
SIDDESH KRISHNA ILAK   (PSI),PSI
SIDDESH KRISHNA ILAK   (PSI),PSI
SIDDESH KRISHNA ILAK   (PSI),PSI
SIDDESH KRISHNA ILAK   (PSI),PSI
NAGENDRA NAIK T H   (PI),PI
NAGENDRA NAIK T H   (PI),PI
B.M.Vannur Babu   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
PAMPANNA J   (ASI),ASI
CHIDANANDA RAO M.   (PI),PI
B.M.Vannur Babu   (ASI),ASI
T V SURESH   (ADDL. SP),ADDL. SP
VENUGOPAL S.   (ASI),ASI
SHARADA T M   (PSI),PSI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
VASANTH KUMAR M   (PI),PI
B.M.Vannur Babu   (ASI),ASI
MALLANA GOUDA   (HC),HC
T V SURESH   (ADDL. SP),ADDL. SP
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
NIRANJANA B   (PI),PI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
VASANTH KUMAR M   (PI),PI
VASANTH KUMAR M   (PI),PI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
NAGENDRA NAIK T H   (PI),PI
SHARADA T M   (PSI),PSI
B.M.Vannur Babu   (ASI),ASI
VEERAREDDY HONNAPPA   (PI),PI
B.M.Vannur Babu   (ASI),ASI
PAMPANNA J   (ASI),ASI
VASANTH KUMAR M   (PI),PI
SIDDESH KRISHNA ILAK   (PSI),PSI
VASANTH KUMAR M   (PI),PI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
VASANTH KUMAR M   (PI),PI
PRASAD.K.GOKHALE   (Dy.SP),Dy.SP
B.M.Vannur Babu   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
VENUGOPAL S.   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
POMPAPATHI M.   (ASI),ASI
RAGHAVENDRA B.   (HC),HC
CHIDANANDA RAO M.   (PI),PI
LAXMAN M   (PSI),PSI
VENUGOPAL S.   (ASI),ASI
MARENNA B.E   (ASI),ASI
POMPAPATHI M.   (ASI),ASI
B.M.Vannur Babu   (ASI),ASI
LAXMAN M   (PSI),PSI
NINGAPPA M.   (PSI),PSI
CHITTARANJAN D.   (PI),PI
BAIRAPPA G   (ASI),ASI
CHITTARANJAN D.   (PI),PI
NIRANJANA B   (PI),PI
PEERA.S   (ASI),ASI
LAXMAN M   (PSI),PSI
PAMPANNA J   (ASI),ASI
PAMPANNA J   (ASI),ASI
PAMPANNA J   (ASI),ASI
LAXMAN M   (PSI),PSI
SHAIK MEHAMOOD   (ASI),ASI
CHITTARANJAN D.   (PI),PI
NINGAPPA M.   (PSI),PSI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
MALLIKARJUNA.Y   (ASI),ASI
NIRANJANA B   (PI),PI
PAMPANNA J   (ASI),ASI
SHAIK MEHAMOOD   (ASI),ASI
POMPAPATHI M.   (ASI),ASI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
Y S HANUMANTHAPPA   (PI),PI
BAIRAPPA G   (ASI),ASI
VIRUPAKSH K.   (PSI),PSI
NIRANJANA B   (PI),PI
LAXMAN M   (PSI),PSI
NIRANJANA B   (PI),PI
LAXMAN M   (PSI),PSI
NIRANJANA B   (PI),PI
LAXMAN M   (PSI),PSI
BAIRAPPA G   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
PAMPANNA J   (ASI),ASI
LAXMAN M   (PSI),PSI
MAZEED.U   (HC),HC
LAXMAN M   (PSI),PSI
NIRANJANA B   (PI),PI
MAZEED.U   (HC),HC
Y S HANUMANTHAPPA   (PI),PI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
NIRANJANA B   (PI),PI
MANJUNATH. K   (ASI),ASI
PAMPANNA J   (ASI),ASI
MAZEED.U   (HC),HC
BAIRAPPA G   (ASI),ASI
LAXMAN M   (PSI),PSI
MAZEED.U   (HC),HC
POMPAPATHI M.   (ASI),ASI
MANJUNATH. K   (ASI),ASI
PAMPANNA J   (ASI),ASI
RAGHUNATH M.   (HC),HC
SREENIVASA RAO M   (PI),PI
SHAIK MEHAMOOD   (ASI),ASI
LAXMAN M   (PSI),PSI
MANJUNATH. K   (ASI),ASI
NIRANJANA B   (PI),PI
NIRANJANA B   (PI),PI
PAMPANNA J   (ASI),ASI
SHAIK MEHAMOOD   (ASI),ASI
PAMPANNA J   (ASI),ASI
LAXMAN M   (PSI),PSI
Y S HANUMANTHAPPA   (PI),PI
LAXMAN M   (PSI),PSI
SHAIK MEHAMOOD   (ASI),ASI
RAGHAVENDRA B.   (HC),HC
RAGHAVENDRA B.   (HC),HC
LAXMAN M   (PSI),PSI
Y S HANUMANTHAPPA   (PI),PI
RAGHAVENDRA B.   (HC),HC
RAGHAVENDRA B.   (HC),HC
POMPAPATHI M.   (ASI),ASI
MARENNA B.E   (ASI),ASI
LAXMAN M   (PSI),PSI
RAGHAVENDRA B.   (HC),HC
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
RAGHAVENDRA B.   (HC),HC
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
BAIRAPPA G   (ASI),ASI
POMPAPATHI M.   (ASI),ASI
NIRANJANA B   (PI),PI
MANJUNATH. K   (ASI),ASI
CHITTARANJAN D.   (PI),PI
LAXMAN M   (PSI),PSI
RAGHAVENDRA B.   (HC),HC
POMPAPATHI M.   (ASI),ASI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
NIRANJANA B   (PI),PI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
BAIRAPPA G   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
MAZEED.U   (HC),HC
MANJUNATH. K   (ASI),ASI
MAZEED.U   (HC),HC
SREENIVASA RAO M   (PI),PI
BAIRAPPA G   (ASI),ASI
PEERA.S   (ASI),ASI
SHARADA T M   (PSI),PSI
Y S HANUMANTHAPPA   (PI),PI
MAZEED.U   (HC),HC
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
LAXMAN M   (PSI),PSI
POMPAPATHI M.   (ASI),ASI
PEERA.S   (ASI),ASI
POMPAPATHI M.   (ASI),ASI
NIRANJANA B   (PI),PI
PAMPANNA J   (ASI),ASI
SREENIVASA RAO M   (PI),PI
LAXMAN M   (PSI),PSI
POMPAPATHI M.   (ASI),ASI
POMPAPATHI M.   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
Y S HANUMANTHAPPA   (PI),PI
LAXMAN M   (PSI),PSI
POMPAPATHI M.   (ASI),ASI
POMPAPATHI M.   (ASI),ASI
MAZEED.U   (HC),HC
MANJUNATH. K   (ASI),ASI
MAZEED.U   (HC),HC
MAZEED.U   (HC),HC
MAZEED.U   (HC),HC
PEERA.S   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
PEERA.S   (ASI),ASI
PEERA.S   (ASI),ASI
BEERAPPA K.   (HC),HC
BAIRAPPA G   (ASI),ASI
LAXMAN M   (PSI),PSI
POMPAPATHI M.   (ASI),ASI
LAXMAN M   (PSI),PSI
MARENNA B.E   (ASI),ASI
MANJUNATH. K   (ASI),ASI
LAXMAN M   (PSI),PSI
PEERA.S   (ASI),ASI
LAXMAN M   (PSI),PSI
MAZEED.U   (HC),HC
POMPAPATHI M.   (ASI),ASI
PEERA.S   (ASI),ASI
MANJUNATH. K   (ASI),ASI
